# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00
1.001001001001001089e+00 -3.361814007442907697e-03 -5.171416971564267083e-07
2.002002002002002179e+00 -6.621004869946090637e-03 -2.049382667631154462e-06
3.003003003003003268e+00 -9.762360736117872695e-03 -4.562281502566509561e-06
4.004004004004004358e+00 -1.278386773507012714e-02 -8.019278073805647769e-06
5.005005005005005003e+00 -1.568752415406234405e-02 -1.238389725962378432e-05
6.006006006006006537e+00 -1.847694400803797862e-02 -1.762055898228962849e-05
7.007007007007008070e+00 -2.115641326262421990e-02 -2.369490926685305479e-05
8.008008008008008716e+00 -2.373046036994741481e-02 -3.057395191191127488e-05
9.009009009009009361e+00 -2.620363291492067148e-02 -3.822608437698008985e-05
1.001001001001001001e+01 -2.858038133860138497e-02 -4.662102814354927865e-05
1.101101101101101243e+01 -3.086500522773050897e-02 -5.573000464506074736e-05
1.201201201201201307e+01 -3.306162318283296930e-02 -6.552537784098078663e-05
1.301301301301301372e+01 -3.517416145194485894e-02 -7.598079027024702938e-05
1.401401401401401614e+01 -3.720634683095801198e-02 -8.707105721687234689e-05
1.501501501501501679e+01 -3.916172390812492493e-02 -9.877210716872779925e-05
1.601601601601601743e+01 -4.104364328959542174e-02 -1.110609247871636470e-04
1.701701701701701808e+01 -4.285527916338527366e-02 -1.239154940220888032e-04
1.801801801801801872e+01 -4.459963923822065496e-02 -1.373147459635077141e-04
1.901901901901901937e+01 -4.627957387319071164e-02 -1.512385084484649895e-04
2.002002002002002001e+01 -4.789777343236949897e-02 -1.656674583663095193e-04
2.102102102102102421e+01 -4.945679791016224791e-02 -1.805830768019071214e-04
2.202202202202202486e+01 -5.095907408993779336e-02 -1.959676069863175614e-04
2.302302302302302550e+01 -5.240688466609835783e-02 -2.118040148582681873e-04
2.402402402402402615e+01 -5.380241672783210582e-02 -2.280759524287593416e-04
2.502502502502502679e+01 -5.514774731801153768e-02 -2.447677232563511408e-04
2.602602602602602744e+01 -5.644484297567273906e-02 -2.618642480026875038e-04
2.702702702702702808e+01 -5.769557030116026497e-02 -2.793510364667949183e-04
2.802802802802803228e+01 -5.890171254380135307e-02 -2.972141615840144697e-04
2.902902902902903293e+01 -6.006496822336378910e-02 -3.154402213810865874e-04
3.003003003003003357e+01 -6.118694916110886672e-02 -3.340163226067575193e-04
3.103103103103103422e+01 -6.226919537410679356e-02 -3.529300634477429335e-04
3.203203203203203486e+01 -6.331317102645417361e-02 -3.721694901231681189e-04
3.303303303303303551e+01 -6.432027817786713231e-02 -3.917230951328700772e-04
3.403403403403403615e+01 -6.529185773601720033e-02 -4.115797928064888860e-04
3.503503503503503680e+01 -6.622918132408980862e-02 -4.317290120183672579e-04
3.603603603603603744e+01 -6.713347594283528008e-02 -4.521600801343271330e-04
3.703703703703703809e+01 -6.800590378953894066e-02 -4.728635626391852038e-04
3.803803803803803874e+01 -6.884758783633382340e-02 -4.938295284082453189e-04
3.903903903903903938e+01 -6.965959652118530743e-02 -5.150487577235846612e-04
4.004004004004004003e+01 -7.044295221821841868e-02 -5.365123591449800881e-04
4.104104104104104778e+01 -7.119863582369462263e-02 -5.582117110775387282e-04
4.204204204204204842e+01 -7.192758874572333094e-02 -5.801384743239879722e-04
4.304304304304304907e+01 -7.263071613542215754e-02 -6.022846038249171727e-04
4.404404404404404971e+01 -7.330887922251579092e-02 -6.246423157672700930e-04
4.504504504504505036e+01 -7.396291312372378635e-02 -6.472040926517434473e-04
